companyShortName,district,industryField,salary,positionName,workYear
美联集团,罗湖区,其他,15k-25k,Python,3-5年
云数科技,南山区,"数据服务,企业服务",9k-18k,Python 开发工程师,1-3年
微众税银,南山区,"金融,数据服务",18k-30k,开发工程师-JAVA/R/Python,3-5年
编玩边学,南山区,"教育,游戏",7k-12k,课程设计师（python）,1-3年
方舟云数,南山区,"移动互联网,游戏",20k-40k,Python工程师,1-3年
翼果科技,南山区,"大数据,互联网,移动互联网",25k-50k,Python资深后台工程师(科技园),3-5年
方舟云数,南山区,"移动互联网,游戏",20k-40k,Python工程师,1-3年
木浪云,南山区,"企业服务,数据服务",15k-25k,高级Python工程师,3-5年
浪潮企业云深圳研发中心,南山区,"移动互联网,企业服务",11k-18k,python开发工程师,1-3年
瀚德金融,南山区,金融,15k-25k,Python数据开发工程师（数据平台）-XWJF,1-3年
出众网络,南山区,"移动互联网,O2O",15k-25k,Python工程师,3-5年
合纵能源,龙华新区,移动互联网,8k-15k,Python开发工程师,1-3年
千锋教育,南山区,移动互联网,20k-40k,Python讲师,3-5年
首汇焦点,南山区,文化娱乐,15k-25k,Python 软件开发工程师,3-5年
和沃翼起,南山区,"移动互联网,金融",4k-8k,Python开发工程师,不限
OPPO,南山区,移动互联网,15k-30k,Python测试开发工程师,不限
编玩边学,南山区,"教育,游戏",8k-15k,代码编程老师（Python）,不限
美会说-深圳分公司,福田区,"移动互联网,电子商务",10K-16K,Python,不限
丽海弘金,南山区,金融,10k-15k,Python量化开发工程师,1-3年
睿智融科,南山区,"数据服务,企业服务",6k-12k,Python后台开发工程师,1-3年
广州登风,宝安区,"移动互联网,电子商务",4k-6k,Python开发工程师,1年以下
中清龙图游戏教育,南山区,"教育,游戏",12k-18k,Python开发讲师,1-3年
爱财科技,南山区,移动互联网,10k-20k,Python工程师,1-3年
TechSure,南山区,企业服务,8k-10k,PYTHON开发工程师,1-3年
ViaBTC,南山区,金融,15k-25k,Python 后台工程师,3-5年
嗨钱科技,龙华新区,"数据服务,金融",10k-20k,python工程师,1-3年
瑞驰信息,南山区,"数据服务,信息安全",6k-12k,python开发工程师,1-3年
梦享网络,南山区,"移动互联网,广告营销",10k-20k,Python开发工程师,3-5年
顺丰科技有限公司,南山区,"移动互联网,电子商务",20k-35k,GIS Python开发工程师,3-5年
